company_name,ticker,country,meeting_date,meeting_id,meeting_type,proposal_number,proposal_text,proponent,management_rec,nbim_vote,position_paper,rationale_text,esg_category_paper,esg_category_detailed,esg_category
fortum oyj,FORTUM,Finland,2025-04-01 00:00:00,1924825,Annual,14,"Reelect Ralf Christian, Luisa Delgado, Jonas Gustavsson (Deputy Chair), Marita Niemela, Teppo Paavola, Mikael Silvennoinen (Chair), Johan Soderstrom and Vesa-Pekka Takala as Directors; Elect Stefanie Kesting as New Director;",Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
bb seguridade participacoes sa,BBSE3,Brazil,2021-04-29 00:00:00,1523688,Special,7,Add Article 54,Management,For,Against,,The right to vote on fundamental changes affecting the company is a basic right of shareholders. This includes the right to approve changes to the company’s governing documents.,,ESG_ambiguous,ESG_ambiguous
swiss life holding ag,SLHN,Switzerland,2025-05-14 00:00:00,1921818,Annual,9,Transact Other Business (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
swiss life holding ag,SLHN,Switzerland,2024-05-15 00:00:00,1812534,Annual,10,Transact Other Business (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
swiss life holding ag,SLHN,Switzerland,2023-04-28 00:00:00,1707192,Annual,9,Transact Other Business (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
swiss life holding ag,SLHN,Switzerland,2022-04-22 00:00:00,1590461,Annual,9,Transact Other Business (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
swiss life holding ag,SLHN,Switzerland,2021-04-23 00:00:00,1496818,Annual,9,Transact Other Business (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
swiss life holding ag,SLHN,Switzerland,2020-04-28 00:00:00,1382258,Annual,9,Transact Other Business (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
roivant sciences ltd,ROIV,Bermuda,2025-09-10 00:00:00,1995990,Annual,3,Advisory Vote to Ratify Named Executive Officers' Compensation,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
roivant sciences ltd,ROIV,Bermuda,2023-09-12 00:00:00,1780011,Annual,1.1,Elect Director Daniel Gold,Management,For,Withhold,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
dormakaba holding ag,DOKA,Switzerland,2025-10-21 00:00:00,2005047,Annual,10,Transact Other Business (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
dormakaba holding ag,DOKA,Switzerland,2024-10-10 00:00:00,1849329,Annual,9,Transact Other Business (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
dormakaba holding ag,DOKA,Switzerland,2023-10-05 00:00:00,1708277,Annual,9.2,Amend Articles Re: General Meetings (Incl. Approval of Virtual-Only or Hybrid Shareholder Meetings),Management,For,Against,,The right to vote on fundamental changes affecting the company is a basic right of shareholders. This includes the right to approve changes to the company’s governing documents.,,G,G
dormakaba holding ag,DOKA,Switzerland,2023-10-05 00:00:00,1708277,Annual,10,Transact Other Business (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
dormakaba holding ag,DOKA,Switzerland,2022-10-11 00:00:00,1601552,Annual,4.4,Reelect Stephanie Brecht-Bergen as Director,Management,For,Against,Position paper: Board diversity,Diversity contributes to the overall effectiveness of the board and is a sign of an effective nomination process. The board should ensure that it can bring a broad range of perspectives and approaches to its decision-making process. The board should have an appropriate balance of competencies and backgrounds.,S,,S
dormakaba holding ag,DOKA,Switzerland,2022-10-11 00:00:00,1601552,Annual,5.1,Reappoint Stephanie Brecht-Bergen as Member of the Nomination and Compensation Committee,Management,For,Against,Position paper: Board diversity,Diversity contributes to the overall effectiveness of the board and is a sign of an effective nomination process. The board should ensure that it can bring a broad range of perspectives and approaches to its decision-making process. The board should have an appropriate balance of competencies and backgrounds.,S,,S
dormakaba holding ag,DOKA,Switzerland,2022-10-11 00:00:00,1601552,Annual,11,Additional Voting Instructions - Board of Directors Proposals (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
dormakaba holding ag,DOKA,Switzerland,2021-10-12 00:00:00,1514958,Annual,11,Additional Voting Instructions - Board of Directors Proposals (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
dormakaba holding ag,DOKA,Switzerland,2020-10-20 00:00:00,1390616,Annual,10,Transact Other Business (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
safaricom plc,SCOM,Kenya,2024-07-25 00:00:00,1881598,Annual,3,Reelect Ory Okolloh as Director,Management,For,Against,Position paper: Board independence,"The board should guide company strategy and monitor management performance without conflicts of interest. A majority of shareholder-elected board members in a non-controlled company should be independent of management, dominant shareholders, and related third parties. In a majority-controlled company, at least a third of board members should be independent.",G,,G
